region,approach,target,2022,2023,2024,2025,2026
Миколаївська,bottom_up,marriage,40830.97516789323,37390.797064935134,33950.61896197703,30510.44085901893,27070.26275606083
Миколаївська,top_down,divorce,7668.730362175096,7707.069362302671,7745.408362430246,7783.7473625578195,7822.086362685394
Миколаївська,top_down,marriage,126753.76626008246,118359.1131444752,109964.46002886796,101569.80691326072,93175.15379765347
Одеська,bottom_up,divorce,16842.550443074833,16965.83716103627,17089.123878997703,17212.41059695914,17335.697314920573
Одеська,bottom_up,marriage,116409.496367271,113668.9493989065,110928.40243054199,108187.85546217747,105447.30849381296
Одеська,top_down,divorce,17031.7410786804,17116.889452993975,17202.037827307548,17287.18620162112,17372.334575934692
Одеська,top_down,marriage,337628.07465285534,315267.63004890166,292907.185444948,270546.7408409943,248186.2962370406
Полтавська,bottom_up,divorce,9579.899228779997,9676.933406523527,9773.967584267057,9871.001762010586,9968.035939754116
Полтавська,bottom_up,marriage,48905.09290137407,44549.99619482661,40194.899488279145,35839.80278173168,31484.706075184222
Полтавська,top_down,divorce,9193.56237569891,9239.524610964518,9285.486846230122,9331.449081495728,9377.411316761334
Полтавська,top_down,marriage,149267.3361344324,139381.65348127784,129495.97082812326,119610.2881749687,109724.60552181411
Рівненська,bottom_up,divorce,6141.978566960629,6259.250578918461,6376.522590876291,6493.794602834123,6611.066614791954
Рівненська,bottom_up,marriage,46849.62607718137,45649.4306782421,44449.23527930283,43249.03988036357,42048.8444814243
Рівненська,top_down,divorce,6126.740308150216,6157.370293344945,6188.000278539674,6218.6302637344015,6249.26024892913
Рівненська,top_down,marriage,133199.7923120713,124378.23154490298,115556.67077773467,106735.11001056635,97913.54924339803
Севастополь,bottom_up,divorce,-1.4689153105172534,-2.909801182335473,-4.350687054153692,-5.791572925971911,-7.23245879779013
Севастополь,bottom_up,marriage,-1737.9997893991645,-2950.9233957264,-4163.847002053635,-5376.770608380872,-6589.694214708106
Севастополь,top_down,divorce,0.0,0.0,0.0,0.0,0.0
Севастополь,top_down,marriage,0.0,0.0,0.0,0.0,0.0
Сумська,bottom_up,divorce,6936.15367003552,7012.049167956617,7087.944665877713,7163.84016379881,7239.7356617199075
Сумська,bottom_up,marriage,32945.40574219042,30078.654805438426,27211.903868686437,24345.15293193444,21478.401995182452
Сумська,top_down,divorce,6295.68101462226,6327.155600873629,6358.630187124997,6390.104773376366,6421.579359627735
Сумська,top_down,marriage,104332.25073842813,97422.53058129635,90512.81042416458,83603.09026703279,76693.370109901
Тернопільська,bottom_up,divorce,5783.942508253624,5897.147618322821,6010.352728392017,6123.557838461214,6236.7629485304105
Тернопільська,bottom_up,marriage,37298.01398056766,35136.926357662654,32975.83873475764,30814.751111852638,28653.663488947634
Тернопільська,top_down,divorce,5566.413529893479,5594.242221078833,5622.0709122641865,5649.89960344954,5677.728294634895
Тернопільська,top_down,marriage,111017.1791237271,103664.729282476,96312.27944122489,88959.82959997377,81607.37975872267
Харківська,bottom_up,divorce,19064.489698088302,19178.81242571448,19293.13515334066,19407.45788096684,19521.780608593017
Харківська,bottom_up,marriage,110754.99084952929,104773.71813883464,98792.44542813997,92811.17271744531,86829.90000675066
Харківська,top_down,divorce,19192.232805678657,19288.18232812042,19384.131850562182,19480.081373003944,19576.03089544571
Харківська,top_down,marriage,328075.7629270119,306347.94917700905,284620.13542700623,262892.3216770034,241164.50792700058
Херсонська,bottom_up,divorce,6612.893275628891,6642.416053766853,6671.938831904816,6701.4616100427775,6730.98438818074
Херсонська,bottom_up,marriage,39069.69296245475,36400.24221478506,33730.79146711537,31061.34071944569,28391.889971776
Херсонська,top_down,divorce,6565.945534230782,6598.771279143675,6631.597024056568,6664.422768969462,6697.248513882356
Херсонська,top_down,marriage,115138.01959251662,107512.6545764275,99887.28956033842,92261.92454424931,84636.55952816021
Хмельницька,bottom_up,divorce,8323.487779776637,8456.071155866872,8588.654531957105,8721.23790804734,8853.821284137573
Хмельницька,bottom_up,marriage,42352.55837883429,38392.22527405048,34431.89216926667,30471.559064482855,26511.22595969904
Хмельницька,top_down,divorce,8168.141020309702,8208.97677079642,8249.812521283138,8290.648271769856,8331.484022256574
Хмельницька,top_down,marriage,130672.7800067309,122018.5783038974,113364.37660106392,104710.17489823043,96055.97319539695
Черкаська,bottom_up,divorce,8085.856581395105,8170.614546424094,8255.372511453084,8340.130476482074,8424.888441511064
Черкаська,bottom_up,marriage,41477.57876670906,38403.53668507636,35329.494603443665,32255.452521810967,29181.410440178268
Черкаська,top_down,divorce,7605.580650981821,7643.603940858657,7681.627230735491,7719.650520612326,7757.673810489162
Черкаська,top_down,marriage,132098.23412145456,123349.62739083858,114601.0206602226,105852.4139296066,97103.80719899059
Чернівецька,bottom_up,divorce,5232.810896352487,5308.376730030101,5383.942563707713,5459.508397385325,5535.074231062938
Чернівецька,bottom_up,marriage,33517.449307678595,31187.653438269044,28857.8575688595,26528.06169944995,24198.265830040407
Чернівецька,top_down,divorce,5115.735767856579,5141.311343602974,5166.886919349369,5192.462495095765,5218.038070842161
Чернівецька,top_down,marriage,105527.89953142671,98538.99390185127,91550.08827227584,84561.1826427004,77572.27701312496
Чернігівська,bottom_up,divorce,6731.250310471857,6813.320798925267,6895.391287378678,6977.461775832087,7059.532264285498
Чернігівська,bottom_up,marriage,32080.395967485812,29330.715469286977,26581.03497108814,23831.354472889303,21081.673974690464
Чернігівська,top_down,divorce,6108.973106447927,6139.514266411339,6170.05542637475,6200.596586338161,6231.137746301572
Чернігівська,top_down,marriage,96469.84113849945,90080.83293487913,83691.8247312588,77302.81652763847,70913.80832401814
