region,approach,target,2022,2023,2024,2025,2026
COUNTRY_TOTAL,bottom_up,divorce,248575.14972907753,249980.414185729,251385.67864238043,252790.9430990319,254196.20755568336
COUNTRY_TOTAL,bottom_up,marriage,1506661.7688272824,1403581.4715610857,1300501.1742948887,1197420.8770286918,1094340.579762495
COUNTRY_TOTAL,top_down,divorce,246541.85342249367,247774.41314273616,249006.9728629786,250239.53258322107,251472.09230346355
COUNTRY_TOTAL,top_down,marriage,4552370.409278598,4250875.853596241,3949381.297913885,3647886.7422315287,3346392.1865491723
