region,model,horizon,step,y_pred
West,TorchNN,0.5,33,7868.2793
West,TorchNN,0.5,34,8105.1445
West,TorchNN,0.5,35,8342.01
West,TorchNN,0.5,36,8578.875
West,TorchNN,0.5,37,8815.74
West,TorchNN,0.5,38,9052.605
West,TorchNN,0.5,39,9289.472
West,TorchNN,0.5,40,9526.337
West,TorchNN,0.5,41,9763.201
West,TorchNN,0.5,42,10000.066
West,TorchNN,0.5,43,10236.932
West,TorchNN,0.5,44,10473.798
West,TorchNN,0.5,45,10710.662
West,TorchNN,0.5,46,10947.528
West,TorchNN,0.5,47,11184.393
West,TorchNN,0.5,48,11421.259
