region,horizon,date,y_pred
East,1.0,2027-10-31,16465.772336676946
East,1.0,2027-11-30,16883.23265111971
East,1.0,2027-12-31,17300.692965562477
East,1.0,2028-01-31,17718.153280005245
East,1.0,2028-02-29,18135.613594448012
East,1.0,2028-03-31,18553.07390889078
East,1.0,2028-04-30,18970.534223333547
East,1.0,2028-05-31,19387.994537776314
East,1.0,2028-06-30,19805.45485221908
East,1.0,2028-07-31,20222.91516666185
East,1.0,2028-08-31,20640.375481104616
East,1.0,2028-09-30,21057.835795547384
East,1.0,2028-10-31,21475.29610999015
East,1.0,2028-11-30,21892.75642443292
East,1.0,2028-12-31,22310.216738875686
East,1.0,2029-01-31,22727.677053318454
East,1.0,2029-02-28,23145.13736776122
East,1.0,2029-03-31,23562.59768220399
East,1.0,2029-04-30,23980.057996646756
East,1.0,2029-05-31,24397.518311089523
East,1.0,2029-06-30,24814.97862553229
East,1.0,2029-07-31,25232.438939975058
East,1.0,2029-08-31,25649.899254417825
East,1.0,2029-09-30,26067.359568860593
East,1.0,2029-10-31,26484.81988330336
East,1.0,2029-11-30,26902.280197746128
East,1.0,2029-12-31,27319.740512188895
East,1.0,2030-01-31,27737.200826631662
East,1.0,2030-02-28,28154.66114107443
East,1.0,2030-03-31,28572.121455517197
East,1.0,2030-04-30,28989.581769959965
East,1.0,2030-05-31,29407.042084402732
East,1.0,2030-06-30,29824.5023988455
