region,horizon,date,y_pred
West,2.0,2027-10-31,17706.17576398564
West,2.0,2027-11-30,18134.178973543858
West,2.0,2027-12-31,18562.18218310208
West,2.0,2028-01-31,18990.1853926603
West,2.0,2028-02-29,19418.18860221852
West,2.0,2028-03-31,19846.19181177674
West,2.0,2028-04-30,20274.195021334963
West,2.0,2028-05-31,20702.198230893184
West,2.0,2028-06-30,21130.201440451405
West,2.0,2028-07-31,21558.204650009626
West,2.0,2028-08-31,21986.207859567847
West,2.0,2028-09-30,22414.211069126068
West,2.0,2028-10-31,22842.21427868429
West,2.0,2028-11-30,23270.21748824251
West,2.0,2028-12-31,23698.22069780073
West,2.0,2029-01-31,24126.22390735895
West,2.0,2029-02-28,24554.227116917173
West,2.0,2029-03-31,24982.230326475394
West,2.0,2029-04-30,25410.233536033615
West,2.0,2029-05-31,25838.236745591836
West,2.0,2029-06-30,26266.239955150057
West,2.0,2029-07-31,26694.243164708278
West,2.0,2029-08-31,27122.2463742665
West,2.0,2029-09-30,27550.24958382472
West,2.0,2029-10-31,27978.25279338294
West,2.0,2029-11-30,28406.25600294116
West,2.0,2029-12-31,28834.259212499383
West,2.0,2030-01-31,29262.262422057604
West,2.0,2030-02-28,29690.265631615825
West,2.0,2030-03-31,30118.268841174046
West,2.0,2030-04-30,30546.272050732267
West,2.0,2030-05-31,30974.275260290487
West,2.0,2030-06-30,31402.27846984871
West,2.0,2030-07-31,31830.28167940693
West,2.0,2030-08-31,32258.28488896515
West,2.0,2030-09-30,32686.28809852337
West,2.0,2030-10-31,33114.29130808159
West,2.0,2030-11-30,33542.29451763981
West,2.0,2030-12-31,33970.297727198034
West,2.0,2031-01-31,34398.300936756255
West,2.0,2031-02-28,34826.30414631448
West,2.0,2031-03-31,35254.3073558727
West,2.0,2031-04-30,35682.31056543092
West,2.0,2031-05-31,36110.31377498914
West,2.0,2031-06-30,36538.31698454736
West,2.0,2031-07-31,36966.32019410558
West,2.0,2031-08-31,37394.3234036638
West,2.0,2031-09-30,37822.32661322202
West,2.0,2031-10-31,38250.329822780244
West,2.0,2031-11-30,38678.333032338465
West,2.0,2031-12-31,39106.336241896686
West,2.0,2032-01-31,39534.33945145491
West,2.0,2032-02-29,39962.34266101313
West,2.0,2032-03-31,40390.34587057135
West,2.0,2032-04-30,40818.34908012957
West,2.0,2032-05-31,41246.35228968779
West,2.0,2032-06-30,41674.35549924601
West,2.0,2032-07-31,42102.35870880423
West,2.0,2032-08-31,42530.361918362454
West,2.0,2032-09-30,42958.365127920675
West,2.0,2032-10-31,43386.368337478896
West,2.0,2032-11-30,43814.37154703712
West,2.0,2032-12-31,44242.37475659534
West,2.0,2033-01-31,44670.37796615356
West,2.0,2033-02-28,45098.38117571178
West,2.0,2033-03-31,45526.38438527
