region,model,horizon,step,y_pred
South,Poly2,2.0,33,8626.318290679912
South,Poly2,2.0,34,9087.333369965472
South,Poly2,2.0,35,9580.685283306633
South,Poly2,2.0,36,10106.374030703402
South,Poly2,2.0,37,10664.399612155772
South,Poly2,2.0,38,11254.76202766375
South,Poly2,2.0,39,11877.461277227329
South,Poly2,2.0,40,12532.497360846508
South,Poly2,2.0,41,13219.870278521292
South,Poly2,2.0,42,13939.580030251676
South,Poly2,2.0,43,14691.626616037669
South,Poly2,2.0,44,15476.01003587927
South,Poly2,2.0,45,16292.730289776464
South,Poly2,2.0,46,17141.78737772927
South,Poly2,2.0,47,18023.181299737676
South,Poly2,2.0,48,18936.91205580168
South,Poly2,2.0,49,19882.97964592129
South,Poly2,2.0,50,20861.3840700965
South,Poly2,2.0,51,21872.125328327325
South,Poly2,2.0,52,22915.203420613747
South,Poly2,2.0,53,23990.618346955765
South,Poly2,2.0,54,25098.370107353396
South,Poly2,2.0,55,26238.45870180664
South,Poly2,2.0,56,27410.88413031548
South,Poly2,2.0,57,28615.64639287991
South,Poly2,2.0,58,29852.74548949995
South,Poly2,2.0,59,31122.181420175595
South,Poly2,2.0,60,32423.954184906856
South,Poly2,2.0,61,33758.06378369371
South,Poly2,2.0,62,35124.51021653617
South,Poly2,2.0,63,36523.29348343423
South,Poly2,2.0,64,37954.41358438789
South,Poly2,2.0,65,39417.87051939715
South,Poly2,2.0,66,40913.66428846202
South,Poly2,2.0,67,42441.7948915825
South,Poly2,2.0,68,44002.262328758574
South,Poly2,2.0,69,45595.06659999025
South,Poly2,2.0,70,47220.20770527753
South,Poly2,2.0,71,48877.68564462041
South,Poly2,2.0,72,50567.50041801891
South,Poly2,2.0,73,52289.652025473006
South,Poly2,2.0,74,54044.1404669827
South,Poly2,2.0,75,55830.96574254799
South,Poly2,2.0,76,57650.12785216891
South,Poly2,2.0,77,59501.62679584544
South,Poly2,2.0,78,61385.462573577555
South,Poly2,2.0,79,63301.63518536526
South,Poly2,2.0,80,65250.14463120858
South,Poly2,2.0,81,67230.9909111075
South,Poly2,2.0,82,69244.17402506204
South,Poly2,2.0,83,71289.69397307216
South,Poly2,2.0,84,73367.55075513787
South,Poly2,2.0,85,75477.74437125922
South,Poly2,2.0,86,77620.27482143619
South,Poly2,2.0,87,79795.14210566872
South,Poly2,2.0,88,82002.34622395688
South,Poly2,2.0,89,84241.88717630062
South,Poly2,2.0,90,86513.76496269996
South,Poly2,2.0,91,88817.97958315493
South,Poly2,2.0,92,91154.5310376655
South,Poly2,2.0,93,93523.41932623165
South,Poly2,2.0,94,95924.64444885343
South,Poly2,2.0,95,98358.2064055308
South,Poly2,2.0,96,100824.10519626376
South,Poly2,2.0,97,103322.3408210523
South,Poly2,2.0,98,105852.9132798965
