region,model,horizon,step,y_pred
West,Poly2,0.5,33,14630.999653170358
West,Poly2,0.5,34,14692.644765395893
West,Poly2,0.5,35,14746.332974329394
West,Poly2,0.5,36,14792.064279970858
West,Poly2,0.5,37,14829.838682320287
West,Poly2,0.5,38,14859.656181377683
West,Poly2,0.5,39,14881.51677714304
West,Poly2,0.5,40,14895.420469616363
West,Poly2,0.5,41,14901.367258797653
West,Poly2,0.5,42,14899.357144686906
West,Poly2,0.5,43,14889.390127284121
West,Poly2,0.5,44,14871.466206589304
West,Poly2,0.5,45,14845.585382602452
West,Poly2,0.5,46,14811.747655323563
West,Poly2,0.5,47,14769.953024752638
West,Poly2,0.5,48,14720.20149088968
