currency,model,horizon,date,y_pred
EUR,MLP,1.0,2024-09-13,43.27338506183781
EUR,MLP,1.0,2024-09-14,43.26286517207698
EUR,MLP,1.0,2024-09-15,43.32821533147891
EUR,MLP,1.0,2024-09-16,43.31633733953636
EUR,MLP,1.0,2024-09-17,43.23151379201702
EUR,MLP,1.0,2024-09-18,43.24719970795351
EUR,MLP,1.0,2024-09-19,43.27128307122811
EUR,MLP,1.0,2024-09-20,43.25528553120152
EUR,MLP,1.0,2024-09-21,43.26133484897194
EUR,MLP,1.0,2024-09-22,43.215057925472244
EUR,MLP,1.0,2024-09-23,43.241217066795265
EUR,MLP,1.0,2024-09-24,43.21952296806977
EUR,MLP,1.0,2024-09-25,43.255973813370886
EUR,MLP,1.0,2024-09-26,43.22963000420666
EUR,MLP,1.0,2024-09-27,43.238529041513594
EUR,MLP,1.0,2024-09-28,43.261032236172774
EUR,MLP,1.0,2024-09-29,43.19825537293392
EUR,MLP,1.0,2024-09-30,43.18475224846348
EUR,MLP,1.0,2024-10-01,43.19065838040714
EUR,MLP,1.0,2024-10-02,43.251042589741004
EUR,MLP,1.0,2024-10-03,43.24818373166812
EUR,MLP,1.0,2024-10-04,43.24434533817444
EUR,MLP,1.0,2024-10-05,43.24531004371724
EUR,MLP,1.0,2024-10-06,43.248268569675346
EUR,MLP,1.0,2024-10-07,43.2452106997295
EUR,MLP,1.0,2024-10-08,43.24402148695405
EUR,MLP,1.0,2024-10-09,43.24695579000691
EUR,MLP,1.0,2024-10-10,43.24686768988923
EUR,MLP,1.0,2024-10-11,43.24971488765242
EUR,MLP,1.0,2024-10-12,43.24896684639588
EUR,MLP,1.0,2024-10-13,43.24694882621084
EUR,MLP,1.0,2024-10-14,43.2457519093022
EUR,MLP,1.0,2024-10-15,43.24752631230259
EUR,MLP,1.0,2024-10-16,43.24841059872536
EUR,MLP,1.0,2024-10-17,43.24717895537852
EUR,MLP,1.0,2024-10-18,43.250583303098104
EUR,MLP,1.0,2024-10-19,43.25048106716848
EUR,MLP,1.0,2024-10-20,43.25008794815598
EUR,MLP,1.0,2024-10-21,43.24767403269423
EUR,MLP,1.0,2024-10-22,43.249212568914224
