currency,model,horizon,step,y_pred
RUB,TorchNN,1.0,256,0.47698468
RUB,TorchNN,1.0,257,0.47730774
RUB,TorchNN,1.0,258,0.47763056
RUB,TorchNN,1.0,259,0.47795314
RUB,TorchNN,1.0,260,0.47827822
RUB,TorchNN,1.0,261,0.47860128
RUB,TorchNN,1.0,262,0.4789229
RUB,TorchNN,1.0,263,0.47924715
RUB,TorchNN,1.0,264,0.47957045
RUB,TorchNN,1.0,265,0.47989398
RUB,TorchNN,1.0,266,0.48021537
RUB,TorchNN,1.0,267,0.4805382
RUB,TorchNN,1.0,268,0.48086387
RUB,TorchNN,1.0,269,0.48118693
RUB,TorchNN,1.0,270,0.4815126
RUB,TorchNN,1.0,271,0.481834
RUB,TorchNN,1.0,272,0.48215657
RUB,TorchNN,1.0,273,0.4824813
RUB,TorchNN,1.0,274,0.48280078
RUB,TorchNN,1.0,275,0.48312646
RUB,TorchNN,1.0,276,0.48344833
RUB,TorchNN,1.0,277,0.4837721
RUB,TorchNN,1.0,278,0.48409778
RUB,TorchNN,1.0,279,0.4844194
RUB,TorchNN,1.0,280,0.48474222
RUB,TorchNN,1.0,281,0.48506624
RUB,TorchNN,1.0,282,0.4853862
RUB,TorchNN,1.0,283,0.4857114
RUB,TorchNN,1.0,284,0.48603588
RUB,TorchNN,1.0,285,0.4863556
RUB,TorchNN,1.0,286,0.48668152
RUB,TorchNN,1.0,287,0.4870053
RUB,TorchNN,1.0,288,0.48732954
RUB,TorchNN,1.0,289,0.48765188
RUB,TorchNN,1.0,290,0.487974
RUB,TorchNN,1.0,291,0.48829705
RUB,TorchNN,1.0,292,0.48861963
RUB,TorchNN,1.0,293,0.4889415
RUB,TorchNN,1.0,294,0.48926455
RUB,TorchNN,1.0,295,0.48958594
RUB,TorchNN,1.0,296,0.4899152
RUB,TorchNN,1.0,297,0.4902354
RUB,TorchNN,1.0,298,0.49055773
RUB,TorchNN,1.0,299,0.4908815
RUB,TorchNN,1.0,300,0.49120456
