currency,model,horizon,date,y_pred
EUR,MLP,2.0,2025-01-08,43.95221194622395
EUR,MLP,2.0,2025-01-09,43.9522117148686
EUR,MLP,2.0,2025-01-10,43.952211483513246
EUR,MLP,2.0,2025-01-11,43.95221129842896
EUR,MLP,2.0,2025-01-12,43.95221111334468
EUR,MLP,2.0,2025-01-13,43.952210974531475
EUR,MLP,2.0,2025-01-14,43.95221078944719
EUR,MLP,2.0,2025-01-15,43.95221065063398
EUR,MLP,2.0,2025-01-16,43.95221051182077
EUR,MLP,2.0,2025-01-17,43.9522104655497
EUR,MLP,2.0,2025-01-18,43.95221032673649
EUR,MLP,2.0,2025-01-19,43.95221028046542
EUR,MLP,2.0,2025-01-20,43.95221023419435
EUR,MLP,2.0,2025-01-21,43.95221014165221
EUR,MLP,2.0,2025-01-22,43.95221004911007
EUR,MLP,2.0,2025-01-23,43.952210002838996
EUR,MLP,2.0,2025-01-24,43.95220995656793
EUR,MLP,2.0,2025-01-25,43.95220991029686
EUR,MLP,2.0,2025-01-26,43.95220991029686
EUR,MLP,2.0,2025-01-27,43.95220986402579
EUR,MLP,2.0,2025-01-28,43.95220986402579
EUR,MLP,2.0,2025-01-29,43.95220981775472
EUR,MLP,2.0,2025-01-30,43.952209771483645
EUR,MLP,2.0,2025-01-31,43.952209771483645
EUR,MLP,2.0,2025-02-01,43.952209725212576
EUR,MLP,2.0,2025-02-02,43.95220967894151
EUR,MLP,2.0,2025-02-03,43.95220967894151
EUR,MLP,2.0,2025-02-04,43.95220967894151
EUR,MLP,2.0,2025-02-05,43.95220967894151
EUR,MLP,2.0,2025-02-06,43.95220967894151
EUR,MLP,2.0,2025-02-07,43.95220967894151
EUR,MLP,2.0,2025-02-08,43.95220967894151
EUR,MLP,2.0,2025-02-09,43.95220967894151
EUR,MLP,2.0,2025-02-10,43.95220963267044
EUR,MLP,2.0,2025-02-11,43.95220958639936
EUR,MLP,2.0,2025-02-12,43.95220958639936
EUR,MLP,2.0,2025-02-13,43.95220963267044
EUR,MLP,2.0,2025-02-14,43.95220958639936
EUR,MLP,2.0,2025-02-15,43.95220958639936
EUR,MLP,2.0,2025-02-16,43.95220958639936
EUR,MLP,2.0,2025-02-17,43.95220958639936
EUR,MLP,2.0,2025-02-18,43.95220958639936
EUR,MLP,2.0,2025-02-19,43.95220958639936
EUR,MLP,2.0,2025-02-20,43.95220958639936
EUR,MLP,2.0,2025-02-21,43.95220958639936
EUR,MLP,2.0,2025-02-22,43.95220958639936
EUR,MLP,2.0,2025-02-23,43.95220958639936
EUR,MLP,2.0,2025-02-24,43.95220958639936
EUR,MLP,2.0,2025-02-25,43.95220958639936
EUR,MLP,2.0,2025-02-26,43.95220958639936
EUR,MLP,2.0,2025-02-27,43.95220958639936
EUR,MLP,2.0,2025-02-28,43.95220958639936
EUR,MLP,2.0,2025-03-01,43.95220958639936
EUR,MLP,2.0,2025-03-02,43.95220958639936
EUR,MLP,2.0,2025-03-03,43.95220958639936
EUR,MLP,2.0,2025-03-04,43.95220958639936
EUR,MLP,2.0,2025-03-05,43.95220958639936
EUR,MLP,2.0,2025-03-06,43.95220958639936
EUR,MLP,2.0,2025-03-07,43.95220958639936
EUR,MLP,2.0,2025-03-08,43.95220958639936
EUR,MLP,2.0,2025-03-09,43.95220958639936
EUR,MLP,2.0,2025-03-10,43.95220958639936
EUR,MLP,2.0,2025-03-11,43.95220958639936
EUR,MLP,2.0,2025-03-12,43.95220958639936
EUR,MLP,2.0,2025-03-13,43.95220958639936
EUR,MLP,2.0,2025-03-14,43.95220958639936
EUR,MLP,2.0,2025-03-15,43.95220958639936
EUR,MLP,2.0,2025-03-16,43.95220958639936
EUR,MLP,2.0,2025-03-17,43.95220958639936
EUR,MLP,2.0,2025-03-18,43.95220958639936
EUR,MLP,2.0,2025-03-19,43.95220958639936
EUR,MLP,2.0,2025-03-20,43.95220958639936
EUR,MLP,2.0,2025-03-21,43.95220958639936
EUR,MLP,2.0,2025-03-22,43.95220958639936
EUR,MLP,2.0,2025-03-23,43.95220958639936
EUR,MLP,2.0,2025-03-24,43.95220958639936
EUR,MLP,2.0,2025-03-25,43.95220958639936
EUR,MLP,2.0,2025-03-26,43.95220958639936
EUR,MLP,2.0,2025-03-27,43.95220958639936
EUR,MLP,2.0,2025-03-28,43.95220958639936
EUR,MLP,2.0,2025-03-29,43.95220958639936
EUR,MLP,2.0,2025-03-30,43.95220958639936
EUR,MLP,2.0,2025-03-31,43.95220958639936
EUR,MLP,2.0,2025-04-01,43.95220958639936
EUR,MLP,2.0,2025-04-02,43.95220958639936
EUR,MLP,2.0,2025-04-03,43.95220958639936
EUR,MLP,2.0,2025-04-04,43.95220958639936
EUR,MLP,2.0,2025-04-05,43.95220958639936
EUR,MLP,2.0,2025-04-06,43.95220958639936
EUR,MLP,2.0,2025-04-07,43.95220958639936
EUR,MLP,2.0,2025-04-08,43.95220958639936
EUR,MLP,2.0,2025-04-09,43.95220958639936
EUR,MLP,2.0,2025-04-10,43.95220958639936
EUR,MLP,2.0,2025-04-11,43.95220958639936
EUR,MLP,2.0,2025-04-12,43.95220958639936
EUR,MLP,2.0,2025-04-13,43.95220958639936
EUR,MLP,2.0,2025-04-14,43.95220958639936
EUR,MLP,2.0,2025-04-15,43.95220958639936
EUR,MLP,2.0,2025-04-16,43.95220958639936
EUR,MLP,2.0,2025-04-17,43.95220958639936
EUR,MLP,2.0,2025-04-18,43.95220958639936
EUR,MLP,2.0,2025-04-19,43.95220958639936
EUR,MLP,2.0,2025-04-20,43.95220958639936
EUR,MLP,2.0,2025-04-21,43.95220958639936
EUR,MLP,2.0,2025-04-22,43.95220958639936
EUR,MLP,2.0,2025-04-23,43.95220958639936
EUR,MLP,2.0,2025-04-24,43.95220958639936
EUR,MLP,2.0,2025-04-25,43.95220958639936
EUR,MLP,2.0,2025-04-26,43.95220958639936
EUR,MLP,2.0,2025-04-27,43.95220958639936
EUR,MLP,2.0,2025-04-28,43.95220958639936
EUR,MLP,2.0,2025-04-29,43.95220958639936
EUR,MLP,2.0,2025-04-30,43.95220958639936
EUR,MLP,2.0,2025-05-01,43.95220958639936
EUR,MLP,2.0,2025-05-02,43.95220958639936
EUR,MLP,2.0,2025-05-03,43.95220958639936
EUR,MLP,2.0,2025-05-04,43.95220958639936
EUR,MLP,2.0,2025-05-05,43.95220958639936
EUR,MLP,2.0,2025-05-06,43.95220958639936
EUR,MLP,2.0,2025-05-07,43.95220958639936
EUR,MLP,2.0,2025-05-08,43.95220958639936
EUR,MLP,2.0,2025-05-09,43.95220958639936
EUR,MLP,2.0,2025-05-10,43.95220958639936
EUR,MLP,2.0,2025-05-11,43.95220958639936
EUR,MLP,2.0,2025-05-12,43.95220958639936
EUR,MLP,2.0,2025-05-13,43.95220958639936
EUR,MLP,2.0,2025-05-14,43.95220958639936
EUR,MLP,2.0,2025-05-15,43.95220958639936
EUR,MLP,2.0,2025-05-16,43.95220958639936
EUR,MLP,2.0,2025-05-17,43.95220958639936
EUR,MLP,2.0,2025-05-18,43.95220958639936
EUR,MLP,2.0,2025-05-19,43.95220958639936
EUR,MLP,2.0,2025-05-20,43.95220958639936
EUR,MLP,2.0,2025-05-21,43.95220958639936
EUR,MLP,2.0,2025-05-22,43.95220958639936
EUR,MLP,2.0,2025-05-23,43.95220958639936
EUR,MLP,2.0,2025-05-24,43.95220958639936
EUR,MLP,2.0,2025-05-25,43.95220958639936
EUR,MLP,2.0,2025-05-26,43.95220958639936
EUR,MLP,2.0,2025-05-27,43.95220958639936
EUR,MLP,2.0,2025-05-28,43.95220958639936
EUR,MLP,2.0,2025-05-29,43.95220958639936
EUR,MLP,2.0,2025-05-30,43.95220958639936
EUR,MLP,2.0,2025-05-31,43.95220958639936
EUR,MLP,2.0,2025-06-01,43.95220958639936
EUR,MLP,2.0,2025-06-02,43.95220958639936
EUR,MLP,2.0,2025-06-03,43.95220958639936
EUR,MLP,2.0,2025-06-04,43.95220958639936
EUR,MLP,2.0,2025-06-05,43.95220958639936
EUR,MLP,2.0,2025-06-06,43.95220958639936
EUR,MLP,2.0,2025-06-07,43.95220958639936
EUR,MLP,2.0,2025-06-08,43.95220958639936
EUR,MLP,2.0,2025-06-09,43.95220958639936
EUR,MLP,2.0,2025-06-10,43.95220958639936
EUR,MLP,2.0,2025-06-11,43.95220958639936
EUR,MLP,2.0,2025-06-12,43.95220958639936
EUR,MLP,2.0,2025-06-13,43.95220958639936
EUR,MLP,2.0,2025-06-14,43.95220958639936
EUR,MLP,2.0,2025-06-15,43.95220958639936
EUR,MLP,2.0,2025-06-16,43.95220958639936
EUR,MLP,2.0,2025-06-17,43.95220958639936
EUR,MLP,2.0,2025-06-18,43.95220958639936
EUR,MLP,2.0,2025-06-19,43.95220958639936
EUR,MLP,2.0,2025-06-20,43.95220958639936
EUR,MLP,2.0,2025-06-21,43.95220958639936
EUR,MLP,2.0,2025-06-22,43.95220958639936
EUR,MLP,2.0,2025-06-23,43.95220958639936
EUR,MLP,2.0,2025-06-24,43.95220958639936
EUR,MLP,2.0,2025-06-25,43.95220958639936
EUR,MLP,2.0,2025-06-26,43.95220958639936
EUR,MLP,2.0,2025-06-27,43.95220958639936
EUR,MLP,2.0,2025-06-28,43.95220958639936
EUR,MLP,2.0,2025-06-29,43.95220958639936
EUR,MLP,2.0,2025-06-30,43.95220958639936
EUR,MLP,2.0,2025-07-01,43.95220958639936
EUR,MLP,2.0,2025-07-02,43.95220958639936
EUR,MLP,2.0,2025-07-03,43.95220958639936
EUR,MLP,2.0,2025-07-04,43.95220958639936
EUR,MLP,2.0,2025-07-05,43.95220958639936
EUR,MLP,2.0,2025-07-06,43.95220958639936
EUR,MLP,2.0,2025-07-07,43.95220958639936
EUR,MLP,2.0,2025-07-08,43.95220958639936
EUR,MLP,2.0,2025-07-09,43.95220958639936
EUR,MLP,2.0,2025-07-10,43.95220958639936
EUR,MLP,2.0,2025-07-11,43.95220958639936
EUR,MLP,2.0,2025-07-12,43.95220958639936
EUR,MLP,2.0,2025-07-13,43.95220958639936
EUR,MLP,2.0,2025-07-14,43.95220958639936
EUR,MLP,2.0,2025-07-15,43.95220958639936
EUR,MLP,2.0,2025-07-16,43.95220958639936
EUR,MLP,2.0,2025-07-17,43.95220958639936
EUR,MLP,2.0,2025-07-18,43.95220958639936
EUR,MLP,2.0,2025-07-19,43.95220958639936
EUR,MLP,2.0,2025-07-20,43.95220958639936
EUR,MLP,2.0,2025-07-21,43.95220958639936
EUR,MLP,2.0,2025-07-22,43.95220958639936
EUR,MLP,2.0,2025-07-23,43.95220958639936
EUR,MLP,2.0,2025-07-24,43.95220958639936
EUR,MLP,2.0,2025-07-25,43.95220958639936
EUR,MLP,2.0,2025-07-26,43.95220958639936
EUR,MLP,2.0,2025-07-27,43.95220958639936
EUR,MLP,2.0,2025-07-28,43.95220958639936
EUR,MLP,2.0,2025-07-29,43.95220958639936
EUR,MLP,2.0,2025-07-30,43.95220958639936
EUR,MLP,2.0,2025-07-31,43.95220958639936
EUR,MLP,2.0,2025-08-01,43.95220958639936
EUR,MLP,2.0,2025-08-02,43.95220958639936
EUR,MLP,2.0,2025-08-03,43.95220958639936
EUR,MLP,2.0,2025-08-04,43.95220958639936
EUR,MLP,2.0,2025-08-05,43.95220958639936
EUR,MLP,2.0,2025-08-06,43.95220958639936
EUR,MLP,2.0,2025-08-07,43.95220958639936
EUR,MLP,2.0,2025-08-08,43.95220958639936
EUR,MLP,2.0,2025-08-09,43.95220958639936
EUR,MLP,2.0,2025-08-10,43.95220958639936
EUR,MLP,2.0,2025-08-11,43.95220958639936
EUR,MLP,2.0,2025-08-12,43.95220958639936
EUR,MLP,2.0,2025-08-13,43.95220958639936
EUR,MLP,2.0,2025-08-14,43.95220958639936
EUR,MLP,2.0,2025-08-15,43.95220958639936
EUR,MLP,2.0,2025-08-16,43.95220958639936
EUR,MLP,2.0,2025-08-17,43.95220958639936
EUR,MLP,2.0,2025-08-18,43.95220958639936
EUR,MLP,2.0,2025-08-19,43.95220958639936
EUR,MLP,2.0,2025-08-20,43.95220958639936
EUR,MLP,2.0,2025-08-21,43.95220958639936
EUR,MLP,2.0,2025-08-22,43.95220958639936
EUR,MLP,2.0,2025-08-23,43.95220958639936
EUR,MLP,2.0,2025-08-24,43.95220958639936
EUR,MLP,2.0,2025-08-25,43.95220958639936
EUR,MLP,2.0,2025-08-26,43.95220958639936
EUR,MLP,2.0,2025-08-27,43.95220958639936
EUR,MLP,2.0,2025-08-28,43.95220958639936
EUR,MLP,2.0,2025-08-29,43.95220958639936
EUR,MLP,2.0,2025-08-30,43.95220958639936
EUR,MLP,2.0,2025-08-31,43.95220958639936
EUR,MLP,2.0,2025-09-01,43.95220958639936
EUR,MLP,2.0,2025-09-02,43.95220958639936
EUR,MLP,2.0,2025-09-03,43.95220958639936
EUR,MLP,2.0,2025-09-04,43.95220958639936
EUR,MLP,2.0,2025-09-05,43.95220958639936
EUR,MLP,2.0,2025-09-06,43.95220958639936
EUR,MLP,2.0,2025-09-07,43.95220958639936
EUR,MLP,2.0,2025-09-08,43.95220958639936
EUR,MLP,2.0,2025-09-09,43.95220958639936
EUR,MLP,2.0,2025-09-10,43.95220958639936
EUR,MLP,2.0,2025-09-11,43.95220958639936
EUR,MLP,2.0,2025-09-12,43.95220958639936
EUR,MLP,2.0,2025-09-13,43.95220958639936
EUR,MLP,2.0,2025-09-14,43.95220958639936
EUR,MLP,2.0,2025-09-15,43.95220958639936
EUR,MLP,2.0,2025-09-16,43.95220958639936
EUR,MLP,2.0,2025-09-17,43.95220958639936
EUR,MLP,2.0,2025-09-18,43.95220958639936
EUR,MLP,2.0,2025-09-19,43.95220958639936
EUR,MLP,2.0,2025-09-20,43.95220958639936
EUR,MLP,2.0,2025-09-21,43.95220958639936
EUR,MLP,2.0,2025-09-22,43.95220958639936
EUR,MLP,2.0,2025-09-23,43.95220958639936
EUR,MLP,2.0,2025-09-24,43.95220958639936
EUR,MLP,2.0,2025-09-25,43.95220958639936
EUR,MLP,2.0,2025-09-26,43.95220958639936
EUR,MLP,2.0,2025-09-27,43.95220958639936
EUR,MLP,2.0,2025-09-28,43.95220958639936
EUR,MLP,2.0,2025-09-29,43.95220958639936
EUR,MLP,2.0,2025-09-30,43.95220958639936
EUR,MLP,2.0,2025-10-01,43.95220958639936
EUR,MLP,2.0,2025-10-02,43.95220958639936
EUR,MLP,2.0,2025-10-03,43.95220958639936
EUR,MLP,2.0,2025-10-04,43.95220958639936
EUR,MLP,2.0,2025-10-05,43.95220958639936
EUR,MLP,2.0,2025-10-06,43.95220958639936
EUR,MLP,2.0,2025-10-07,43.95220958639936
EUR,MLP,2.0,2025-10-08,43.95220958639936
EUR,MLP,2.0,2025-10-09,43.95220958639936
EUR,MLP,2.0,2025-10-10,43.95220958639936
EUR,MLP,2.0,2025-10-11,43.95220958639936
EUR,MLP,2.0,2025-10-12,43.95220958639936
EUR,MLP,2.0,2025-10-13,43.95220958639936
EUR,MLP,2.0,2025-10-14,43.95220958639936
EUR,MLP,2.0,2025-10-15,43.95220958639936
EUR,MLP,2.0,2025-10-16,43.95220958639936
EUR,MLP,2.0,2025-10-17,43.95220958639936
EUR,MLP,2.0,2025-10-18,43.95220958639936
EUR,MLP,2.0,2025-10-19,43.95220958639936
EUR,MLP,2.0,2025-10-20,43.95220958639936
EUR,MLP,2.0,2025-10-21,43.95220958639936
EUR,MLP,2.0,2025-10-22,43.95220958639936
EUR,MLP,2.0,2025-10-23,43.95220958639936
EUR,MLP,2.0,2025-10-24,43.95220958639936
EUR,MLP,2.0,2025-10-25,43.95220958639936
EUR,MLP,2.0,2025-10-26,43.95220958639936
EUR,MLP,2.0,2025-10-27,43.95220958639936
EUR,MLP,2.0,2025-10-28,43.95220958639936
EUR,MLP,2.0,2025-10-29,43.95220958639936
EUR,MLP,2.0,2025-10-30,43.95220958639936
EUR,MLP,2.0,2025-10-31,43.95220958639936
EUR,MLP,2.0,2025-11-01,43.95220958639936
EUR,MLP,2.0,2025-11-02,43.95220958639936
EUR,MLP,2.0,2025-11-03,43.95220958639936
EUR,MLP,2.0,2025-11-04,43.95220958639936
EUR,MLP,2.0,2025-11-05,43.95220958639936
EUR,MLP,2.0,2025-11-06,43.95220958639936
EUR,MLP,2.0,2025-11-07,43.95220958639936
EUR,MLP,2.0,2025-11-08,43.95220958639936
EUR,MLP,2.0,2025-11-09,43.95220958639936
EUR,MLP,2.0,2025-11-10,43.95220958639936
EUR,MLP,2.0,2025-11-11,43.95220958639936
EUR,MLP,2.0,2025-11-12,43.95220958639936
EUR,MLP,2.0,2025-11-13,43.95220958639936
EUR,MLP,2.0,2025-11-14,43.95220958639936
EUR,MLP,2.0,2025-11-15,43.95220958639936
EUR,MLP,2.0,2025-11-16,43.95220958639936
EUR,MLP,2.0,2025-11-17,43.95220958639936
EUR,MLP,2.0,2025-11-18,43.95220958639936
EUR,MLP,2.0,2025-11-19,43.95220958639936
EUR,MLP,2.0,2025-11-20,43.95220958639936
EUR,MLP,2.0,2025-11-21,43.95220958639936
