region,model,horizon,date,y_pred
West,MLP,0.5,2027-10-31,13788.233749927387
West,MLP,0.5,2027-11-30,14407.174087115456
West,MLP,0.5,2027-12-31,14797.338423379211
West,MLP,0.5,2028-01-31,13932.405636116706
West,MLP,0.5,2028-02-29,14193.58711247565
West,MLP,0.5,2028-03-31,14637.52284675559
West,MLP,0.5,2028-04-30,14091.570586329917
West,MLP,0.5,2028-05-31,14265.733478283526
West,MLP,0.5,2028-06-30,14461.787500943445
West,MLP,0.5,2028-07-31,13767.245667460658
West,MLP,0.5,2028-08-31,14068.949017576873
West,MLP,0.5,2028-09-30,14053.381053691324
West,MLP,0.5,2028-10-31,14027.030897469835
West,MLP,0.5,2028-11-30,14048.099462258908
West,MLP,0.5,2028-12-31,14061.09223571525
West,MLP,0.5,2029-01-31,14027.402213638834
