region,model,horizon,date,y_pred
East,LSTM,0.5,2027-10-31,14084.102492543261
East,LSTM,0.5,2027-11-30,14063.470549701355
East,LSTM,0.5,2027-12-31,14056.03723060134
East,LSTM,0.5,2028-01-31,14053.919440394153
East,LSTM,0.5,2028-02-29,14053.776165134188
East,LSTM,0.5,2028-03-31,14053.968335059297
East,LSTM,0.5,2028-04-30,14054.410771190067
East,LSTM,0.5,2028-05-31,14054.263781787695
East,LSTM,0.5,2028-06-30,14054.004146485411
East,LSTM,0.5,2028-07-31,14053.821729878555
East,LSTM,0.5,2028-08-31,14054.19320323015
East,LSTM,0.5,2028-09-30,14054.197025742758
East,LSTM,0.5,2028-10-31,14054.198129148459
East,LSTM,0.5,2028-11-30,14054.198276926008
East,LSTM,0.5,2028-12-31,14054.198336037029
East,LSTM,0.5,2029-01-31,14054.198276926008
