model,dataset,metric,value
LSM,train,mse,2001.1153303524834
LSM,train,mae,38.462597151669655
LSM,train,r2,0.9976652694525098
LSM,test,mse,12319606.475346303
LSM,test,mae,2740.2689519696655
LSM,test,r2,0.5949495519499703
Sklearn,train,mse,2001.115330352481
Sklearn,train,mae,38.46259715166982
Sklearn,train,r2,0.9976652694525098
Sklearn,test,mse,12319606.475346262
Sklearn,test,mae,2740.26895196966
Sklearn,test,r2,0.5949495519499716
