date,USD,EUR,RUB
2024-05-08,39.2966,42.3087,0.43085
2024-05-09,39.3828,42.3168,0.42799
2024-05-10,39.5518,42.4312,0.42693
2024-05-11,39.5518,42.4312,0.42693
2024-05-12,39.5518,42.4312,0.42693
2024-05-13,39.7206,42.8148,0.43011
2024-05-14,39.6196,42.7495,0.43227
2024-05-15,39.6799,42.8305,0.43468
2024-05-16,39.5771,42.8501,0.43393
2024-05-17,39.4305,42.8452,0.43434
2024-05-18,39.4305,42.8452,0.43434
2024-05-19,39.4305,42.8452,0.43434
2024-05-20,39.4272,42.7549,0.43281
2024-05-21,39.665,43.0802,0.43593
2024-05-22,39.8052,43.2643,0.43973
2024-05-23,39.825,43.1106,0.44127
2024-05-24,39.9205,43.3137,0.44181
2024-05-25,39.9205,43.3137,0.44181
2024-05-26,39.9205,43.3137,0.44181
2024-05-27,40.1153,43.491,0.44807
2024-05-28,40.3012,43.759,0.45396
2024-05-29,40.3958,43.9708,0.45681
2024-05-30,40.4832,43.9202,0.45249
2024-05-31,40.5001,43.8171,0.45105
2024-06-01,40.5001,43.8171,0.45105
2024-06-02,40.5001,43.8171,0.45105
2024-06-03,40.5373,43.985,0.44942
2024-06-04,40.4813,43.8939,0.45336
2024-06-05,40.2938,43.7671,0.45341
2024-06-06,40.1254,43.6083,0.4528
2024-06-07,40.1537,43.627,0.4517
2024-06-08,40.1537,43.627,0.4517
2024-06-09,40.1537,43.627,0.4517
2024-06-10,40.2485,43.8709,0.45262
2024-06-11,40.4246,43.4726,0.45494
2024-06-12,40.5178,43.4594,0.4545
2024-06-13,40.4441,43.532,0.45269
2024-06-14,40.6908,43.885,0.46053
2024-06-15,40.6908,43.885,0.46053
2024-06-16,40.6908,43.885,0.46053
2024-06-17,40.649,43.4782,0.45534
2024-06-18,40.6485,43.5366,0.45832
2024-06-19,40.5493,43.4486,0.46689
2024-06-20,40.5381,43.5744,0.48156
2024-06-21,40.5184,43.4276,0.46612
2024-06-22,40.5184,43.4276,0.46612
2024-06-23,40.5184,43.4276,0.46612
2024-06-24,40.4478,43.2347,0.45791
2024-06-25,40.5505,43.5188,0.45846
2024-06-26,40.6545,43.545,0.46476
2024-06-27,40.5138,43.3133,0.46284
2024-06-28,40.5374,43.3547,0.47443
2024-06-29,40.5374,43.3547,0.47443
2024-06-30,40.5374,43.3547,0.47443
2024-07-01,40.4542,43.2658,0.47294
2024-07-02,40.6413,43.6853,0.46937
2024-07-03,40.7476,43.6977,0.46078
2024-07-04,40.7599,43.8495,0.46226
2024-07-05,40.5458,43.7814,0.46147
2024-07-06,40.5458,43.7814,0.46147
2024-07-07,40.5458,43.7814,0.46147
2024-07-08,40.542,43.8624,0.46049
2024-07-09,40.7,44.0781,0.46196
2024-07-10,40.7662,44.0846,0.46716
2024-07-11,40.7146,44.0776,0.46305
2024-07-12,40.8823,44.3818,0.46776
2024-07-13,40.8823,44.3818,0.46776
2024-07-14,40.8823,44.3818,0.46776
2024-07-15,41.0434,44.686,0.46822
2024-07-16,41.0107,44.7263,0.46409
2024-07-17,41.2575,44.9789,0.46765
2024-07-18,41.4627,45.3457,0.46961
2024-07-19,41.422,45.2618,0.47092
2024-07-20,41.422,45.2618,0.47092
2024-07-21,41.422,45.2618,0.47092
2024-07-22,41.4912,45.186,0.47294
2024-07-23,41.3369,44.9952,0.47044
2024-07-24,41.2316,44.7693,0.47318
2024-07-25,41.2174,44.7044,0.47548
2024-07-26,41.1977,44.683,0.48306
2024-07-27,41.1977,44.683,0.48306
2024-07-28,41.1977,44.683,0.48306
2024-07-29,41.098,44.6324,0.47849
2024-07-30,41.0478,44.4055,0.47424
2024-07-31,41.0291,44.4181,0.47488
2024-08-01,41.0063,44.4016,0.47617
2024-08-02,41.139,44.4013,0.47909
2024-08-03,41.139,44.4013,0.47909
2024-08-04,41.139,44.4013,0.47909
2024-08-05,41.225,44.6467,0.48134
2024-08-06,41.1966,45.1474,0.48483
2024-08-07,41.0381,44.7931,0.47826
2024-08-08,40.9847,44.7676,0.47659
2024-08-09,40.9926,44.809,0.47127
2024-08-10,40.9926,44.809,0.47127
2024-08-11,40.9926,44.809,0.47127
2024-08-12,41.119,44.8855,0.46377
2024-08-13,41.283,45.1058,0.45603
2024-08-14,41.3464,45.1957,0.45162
2024-08-15,41.3262,45.5497,0.46739
2024-08-16,41.1382,45.3055,0.46382
2024-08-17,41.1382,45.3055,0.46382
2024-08-18,41.1382,45.3055,0.46382
